,artista,id_artista,genero,tipo,nombre,anio_lanzamiento,id
171,Dueto Remembranzas,5ZZifDL1X99gGFmtNyESo3,pop,track,En Paz,2000,5OtWnkw9QMne7ygHKLeRIm
172,Dave Pell,4e6A5UdYEgQGwQNaLLFYVN,pop,track,Look Who's Dancing,2000,4uz4iquqAONVuzdHeIO2cp
173,Neha Rajpal,0r8eJ4EHVkfyiyf6IjDa90,pop,track,Rudra Namakam,2000,4lLFd1AYD9dokNCAVMHTYR
174,Nihal Nelson,65p1Uri65TAZCPWlGZoZKw,pop,track,Owuwath Wedida,2000,5D79TqyFoEghQ2eO7FIxNU
175,Jonah Jones,5u7FXbK7whWNTbgeicnbG9,pop,track,Serenata,2000,78ZIwzY5YRX1l3EQue4vZd
176,Duy Quang,0mK6ypkGLYJ1P4J1fP4Jcf,pop,track,Tâm Sự Gởi Về Đâu,2000,4OqkyVu86Aaf9RhpRFHXEz
177,Tommy J Pisa,436nHdzLYSZ9wTMSi8jkwk,pop,track,Nasib Pengamen,2000,1GE9pdLq19vyJKzJwpUoiO
178,Cómplices,4VIU80QkcrMEdKoiWmnWvr,pop,track,Los Tejados,2000,1kWoFMiXV15pKnS202VkOk
179,Titti Bianchi,0jWstm6MkI0Q1aKQvSyMPs,pop,track,Vvere insieme (fox-trot),2000,4TOMoAmMV6qKiSoxoJjc04
180,Leroy Anderson,5YhX2onn51M81v4dSZajlX,pop,track,Irish Suite: VI. The Girl I Left Behind Me (arr. for band),2000,5cL3bqjM6pSKrYzf1faRuS
181,Jil Jilala,2R02K2zNtTSnvXDnvYMBCv,pop,track,Fiqou Ya Nowam,2000,2EwNQrh70wKkNVPw2hUh9I
182,Annie Cordy,3qkV6gvoRmKLMuRFuBd2Ot,pop,track,Rire - Live,2000,3YC6hHAKRSH8K3AIWEgMcF
183,Manny Albam,2sFFDtPmEgZ7cytvnQvMPp,pop,track,Bristling,2000,13bmx7HIuZaKtwhQDf79CY
184,Prudence Liew,7CgMLbkDNX2GegKzzekbXr,pop,track,因為我沒有,2000,1zPh4Eo2EBchh4ZlsIa1Sy
